id,date,title_en,title_ko,organization_en,organization_ko
ishvac-best-paper-2025,2025-12-02,"Best Paper Award, ISHVAC 2025",ISHVAC 2025 Best Paper Award,"14th International Symposium on Heating, Ventilating and Air-Conditioning","제14회 International Symposium on Heating, Ventilating and Air-Conditioning"
aik-best-presentation-2024,2024-10-25,Best Presentation Paper Award,우수발표논문상,Architectural Institute of Korea,대한건축학회
aik-thesis-encouragement-2022,2022-04-29,"Encouragement Award, Master’s Division",석사부문 장려상,"18th Excellent Graduation Thesis Competition, Architectural Institute of Korea",대한건축학회 제18회 우수졸업논문전
aik-best-presentation-2021,2021-10-29,Best Presentation Paper Award,우수발표논문상,Architectural Institute of Korea,대한건축학회
kiaebs-best-presentation-2020,2020-11-20,Best Paper Presentation Award,우수논문발표상,Korean Institute of Architectural Sustainable Environment and Building Systems,한국건축친환경설비학회
